SOUTH MESS MENU w.e.f..01.02.2023,,,,,,,,,
MEAL,ITEMS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,
"BREAK
FAST",Item 1,Karam /Corn(ONION) Dosa,Utappam,Idly/fried idly,Wada,"Kerala item (idiyappam)/
Kanchipuram idly",Mysore/ Rawa Bonda,Pesarattu,
,Item 2,Bread-Butter-Jam,Poha,Cornflakes,Pongal,Semiya upma,Uggani,Bread-Butter-Jam,
,Accompaniment,Groundnut Chutney,Peanut Chutney,Putana Coconut Chutney,Groundnut Chutney,Groundnut Chutney,Groundnut Chutney,Putana Coconut Chutney,
,,Sambar,Sambar,Sambar,Sambar,,Sambar,Sambar,
,,Cornflakes,Cornflakes,Karam Podi+ Ghee,Cornflakes,Cornflakes,Cornflakes,Karam Podi+ Ghee,
,Fruit,Sprouts,Water Melon,Banana,Papaya,Muskmelon,Watermelon,Pineapple,
LUNCH,Fry,Aloo/ Cabbage Fry,Cluster Beans/Bhendi Fry,Banana Chips,,Kareli Fry,Cauliflower fry,Kanda Fry,
,Curry,Aloo Tamatar,Drumstick Masala,Mirchi Ka Salan,Methi Paneer,Mix Veg. Curry,Kofta Curry,,
,Dal,"Thotakura / Mango Pappu
(seasonal)",Tomata Pappu,,Sorakaya Pappu,Palakura Pappu,Mudda Pappu,,
,Stew,Rasam,Sambar,,,Tomato Rasam,Pacchi Pulusu,Mirchi Ka Salan,
,Salad,Carrot+Beetroot,Green Salad,"Onion, Lemon",Green Salad,Kosambari Salad,Tomato/ Chana salad,"Onion, Lemon",
,Sweet,,,Spl.Sweet,,Sweet,,Fruit Custard,
,Spl Rice,Veg Pulao/jeera rice,Lemon Rice/ Pulihora,Veg Dum Biryani,Besibilla Bath,Thalimpu Rice,Fried Rice,Veg Dum Biryani,
,Roti,Roti,,,Roti,Roti,Roti,,
,Chutney,Kariveypaku podi,Dosakaya mukkala pachadi,Cabbage Pachhadi,Dondakaya Pachadi,Beerakaya Chutney,Kobbari karam podi,Gongura Chutney,
,Accompaniment,Raitha,,"Raita,Papad",Boondi,,,Raita Papad,
,Compasary Items,"White Rice, Ghee,
Fryums","White Rice, Curd, Ghee,
Fryums","White Rice, Curd, Ghee","White Rice, Curd, Ghee,
Fryums","White Rice, Curd, Ghee,
Papad","White Rice, Curd,
Ghee, Fryums",White Rice and Ghee,
SNACKS,Item,Steam Dosa,Muntha masala/Stuffed Mirchi,Kerala Snacks (banana bhajji),Gunta Ponganalu/ Punugulu,Samosa,Onion Pakodi,Papdi Chat,
,Accompaniment,Putana Chutney,,,Putana Chutney,Khatta meeta Chutney,,,
DINNER,Fry,,,,Cabbage Porial,,Bhendi Fry,Aloo 65,
,Curry,Aloo Methi,Paneer Curry,Beerakaya Chanagapappu,,(CHOLE),"Pul Makhni Curry/ Khaju
Masala Curry",rajma masala,
,Dal,,Gongura Pappu,,Tomato Dal,Kaddu Ka Dal,Pesarapappu,Palakura Pappu,
,Stew,Tomato Rasam,Tomato Rasam,Sambar,,,Dappalam,Pappu Charu,
,Starter,Veg Noodles,,Dosa with Aloo Masala,Veg Manchuria,Poori,,,
,Accompainment,"Hot Garlic /Chilly and
Tomato sauce",,Chutney,,,Karam Chitlu Podi,,
,Sweet,,,,,,"Double kameta / Gulab
Jamun / Jalebi",,
,Spl Rice,,,,Dadhojanam,,Bhagara Rice,Green Peas Pulav,
,Soup,Manchow Soup,,,,Veg Clear Soup,,,
,Chutney,Snake Guard Dhai Chutney,Lemon Pickle / Chutney,,Fresh Chutney,Pudina Chutney,,,
,Roti,,Lachha Paratha/chapathi,,Roti,,Roti,Roti,
,Compulsory Items,"White Rice, Curd, Ghee,
Fryums","White Rice, Curd, Ghee, Fryums","White Rice, Curd, Ghee,
Fryums","White Rice, Ghee, Fryums","White Rice, Curd, Ghee,
Fryums","White Rice, Curd, Ghee,
Fryums","White Rice, Curd, Ghee,
Fryums",

